Column1;Column2;Column3
Link;Alamat;Url
BCA Jl. Asemka No.27-30, RW.6, Pinangsia, Kec. Taman Sari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11110;Jl. Asemka No.27-30, RW.6, Pinangsia, Kec. Taman Sari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11110;https://www.google.com/maps/place/BCA+KCU+ASEMKA/@-6.139158,106.8109923,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f6010c931a81:0x5aaae0f551a88d3a!8m2!3d-6.139158!4d106.813181!16s%2Fg%2F1tf0529b?entry=ttu
BCA Jln. Daan Mogot No. 95  Jakarta Barat, JK;Jl. Raya Daan Mogot No.95, Wijaya Kusuma, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11460;https://www.google.com/maps/place/BCA+KCU+DAAN+MOGOT/@-6.1618759,106.7707701,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f64b7b94238b:0xf786b6bd4394d2ea!8m2!3d-6.1618759!4d106.7729588!16s%2Fg%2F1ptxqyz7k?entry=ttu
Bank BCA Jln. Gajah Mada 112 B-C-D  Jakarta Barat, JK;Jl. Gajah Mada No.112, RW.1, Krukut, Kec. Taman Sari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11140;https://www.google.com/maps/place/BCA+KCU+GAJAH+MADA/@-6.1531621,106.8149441,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f60a7a5922ad:0x72374b80aff48110!8m2!3d-6.1531621!4d106.8171328!16s%2Fg%2F1td0_s75?entry=ttu
Bank BCA Blok A.7 No. 31-35 ,Komplek Perumahan Green Graden, Daerah Khusus Ibukota Jakarta 11520;;https://www.google.com/maps/search/Bank+BCA+Perum.+Green+Garden++Blok+A.7+No.33-34++Jakarta+Barat,+JK/@-6.176578,106.6093532,12z/data=!3m1!4b1?entry=ttu
Bank BCA Ruko Taman Kedoya Permai  Blok A 1A No.4-5  Jakarta Barat, JK;;https://www.google.com/maps/search/Bank+BCA+Ruko+Taman+Kedoya+Permai++Blok+A+1A+No.4-5,+1B,+2A,+2B++Jakarta+Barat,+JK/@-6.160164,106.6872189,12z/data=!3m1!4b1?entry=ttu
Gedung C3 LT.1-3  Komplek Puri Indah Blok 02 No.1-3  Kembangan;;https://www.google.com/maps/search/Gedung+C3+LT.1-3++Komplek+Puri+Indah+Blok+02+No.1-3++Kembangan++Jakarta+Barat,+JK/@-6.1835365,106.7367578,15z/data=!3m1!4b1?entry=ttu
BCA KCU TAMAN DUTA MAS;ABC dan 11 H, Jl. Pangeran Tubagus Angke No.10, RT.14/RW.11, Jelambar Baru, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11460;https://www.google.com/maps/place/BCA+KCU+TAMAN+DUTA+MAS/@-6.1442749,106.7787297,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f775b99f79b7:0xc7394737db01b689!8m2!3d-6.1442749!4d106.7809184!16s%2Fg%2F11q9m8tfsc?entry=ttu
Bank BCA Wisma Asia  Jln. S. Parman Kav. 79  Jakarta Barat, JK;Wisma Asia, Jl. Letjen S. Parman No.Kav. 79, RT.4/RW.9, Kota Bambu Sel., Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11420;https://www.google.com/maps/place/BCA+KCU+Wisma+Asia/@-6.1891343,106.7953647,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f6925e872e6f:0xdc894d1b447b713a!8m2!3d-6.1891343!4d106.7975534!16s%2Fg%2F1tf91hsc?entry=ttu
BCA Jl. Pangeran Tubagus Angke No.37, Jemb. Lima, Kec. Tambora, Jakarta, Daerah Khusus Ibukota Jakarta 14440;Jl. Pangeran Tubagus Angke No.37, Jemb. Lima, Kec. Tambora, Jakarta, Daerah Khusus Ibukota Jakarta 14440;https://www.google.com/maps/place/BCA+KCP+Angke/@-6.1421622,106.8029518,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f6244d5c9351:0xa42b1b69a79f4c2e!8m2!3d-6.1421622!4d106.8051405!16s%2Fg%2F1trzmckp?entry=ttu
Bank BCA Jl.Arjuna Utara No.7D-E. Jakarta Barat,;Jalan Arjuna Utara No.7 D-E, RT.5/RW.2, Duri Kepa, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11510;https://www.google.com/maps/place/BCA+KCP+Arjuna/@-6.1858168,106.777722,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f6faf8284a87:0x95cf4040c88a0140!8m2!3d-6.1858168!4d106.7799107!16s%2Fg%2F1q6jdk_24?entry=ttu
ATM Bank BCA 101R-Bandengan Utara Raya;;https://www.google.com/maps/search/Bank+BCA+Jln.+Bandengan+Utara+Raya+1A.+Jakarta+Barat,/@-6.1368807,106.787159,15z/data=!3m1!4b1?entry=ttu
Bank BCA Kamp.II Univ.Bina Nusantara,Jln.Anggrek Cakra 10 Kebon Jeruk. Jakarta Barat,;Kamp. II Univ. Bina Nusantara, Jl. Anggrek Cakra No.10, RW.9, Kb. Jeruk, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11530;https://www.google.com/maps/place/BCA+KCP+Bina+Nusantara/@-6.2020157,106.7793067,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f6dccbd44401:0xba6cdbfe12d52ec3!8m2!3d-6.2020157!4d106.7814954!16s%2Fg%2F1v86h3k0?entry=ttu
Bank BCA Komp. Bojong Indah Cengkareng, Jln. Pakis Raya 88 H. Jakarta Barat,;Komp. Bojong Indah Cengkareng, Jl. Pakis Raya 88 H, RT.9/RW.6, Rw. Buaya, Jakarta, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11740;https://www.google.com/maps/place/BCA/@-6.1620792,106.7390509,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f79475369e0b:0x484eca8ce4af83fa!8m2!3d-6.1620792!4d106.7412396!16s%2Fg%2F11b6gdt0ns?entry=ttu
Bank BCA Rukan Business Park Blok B-1 & B-2, Jln. Meruya Ilir No. 88. Jakarta Barat,;Rukan Business Park Blok B-1 & B-2, Jl. Meruya Ilir Raya No.88, RT.1/RW.5, Meruya Utara, Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11620;https://www.google.com/maps/place/BCA+KCP+Business+Park/@-6.198311,106.7600623,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f7adbd554e47:0x74fb6053b6775f3f!8m2!3d-6.198311!4d106.762251!16s%2Fg%2F11rylkmy13?entry=ttu
Bank BCA Jln. Cengkeh 21-21A. Jakarta Barat,;Jl. Cengkeh No.21-21A, Pinangsia, Kec. Taman Sari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11110;https://www.google.com/maps/place/BCA+KCP+Cengkeh/@-6.1322908,106.8101482,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6a1dfec99a0f8f:0x5589cb0bd9cda7e1!8m2!3d-6.1322908!4d106.8123369!16s%2Fg%2F1q62cyx25?entry=ttu
Bank BCA Central Park Mall;;https://www.google.com/maps/search/Bank+BCA+Komplek+Central+Park+Ruko+Garden+Shopping+Arcade+Blok+Beaufort+8+nomor+EC.+Jakarta+Barat,/@-6.160164,106.6872189,12z/data=!3m1!4b1?entry=ttu
Bank BCA Ruko Citra Garden II EXT Blok BE 01 A / 01 & 02. Jakarta Barat,;Blok BE 01, Ruko Citra Garden II EXT, RT.10/RW.14, Duri Kepa, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11830;https://www.google.com/maps/place/BCA+KCP+Citra+2+Ext/@-6.1331842,106.6914526,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6a029bd93b1e11:0x3487d99e4448e9ac!8m2!3d-6.1331842!4d106.6936413!16s%2Fg%2F1tjph1cf?entry=ttu
Bank BCA Perum. Citra Garden I Blok I.1/4. Jakarta Barat,;Perumahan Citra Garden, Jl. Alam Raya No.1, Kalideres, Kec. Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11840;https://www.google.com/maps/place/BCA+KCP+Citra+Garden/@-6.1453096,106.6931769,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f8727f5f88b9:0xe7bcd2a9aeab7b79!8m2!3d-6.1453096!4d106.6953656!16s%2Fg%2F1tj54xjw?entry=ttu
Bank BCA (Citra II) 7119;;https://www.google.com/maps/search/Bank+BCA+Perum.+Citra+Garden+II+Ruko+Citra+Niaga+Blok+B+No.+1/@-6.1449582,106.6922404,15z/data=!3m1!4b1?entry=ttu
BCA Kantor Pemasaran & Proyek Rukan Daan Mogot Baru Blok KJF, No. 9 Jalan Jimbaran Blok LA 14 No.10 - 11, RT.8/RW.12, Kalideres, Kec. Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11840;;https://www.google.com/maps/search/Kantor+Pemasaran/@-6.958229,107.6333816,15z/data=!3m1!4b1?entry=ttu
BCA KCP Daan Mogot Dua Jl. Raya Daan Mogot No.48 A, RT.6/RW.3, Jelambar, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11450;;https://www.google.com/maps/search/Bank+BCA+Jln.+Daan+Mogot+No.+48+A.+Jakarta+Barat,/@-6.1551408,106.6612404,12z/data=!3m1!4b1?entry=ttu
BCA KCP Duri Raya;BCA KCP Duri Raya  3,5(15)Bank · Jl. Duri Utara No.37B, RT.5/RW.2Tutup ? Buka Jum pukul 08.00 · 1 500 888;https://www.google.com/maps/search/Bank+BCA+Jln.+Duri+Raya+37+B.+Jakarta+Barat,/@-6.1736003,106.7713648,14z/data=!3m1!4b1?entry=ttu
